a 啊阿
ai 哀皑
an 安暗案
ang 昂肮
ao 傲凹
ba 八巴爸罢
bai 摆白百
ban 办半
bang 傍帮
bao 保
bei 北卑
ben 奔本
beng 崩绷
bi 佊
bian 匾变
biao 俵表裱
bie 别
bin 宾滨
bing 丙冰
bo 伯脖
bu 不布步补
ca 嚓擦
cai 材猜踩采
can 参惨惭
cang 仓
cao 曹槽草
ce 侧厕
cen 岑涔硶
ceng 层曾
cha 叉插查
chai 拆柴
chan 产
chang 伥厂长
chao 吵巢钞
che 车
chen 臣衬
cheng 丞呈城称程
chi 尺池迟
chong 充冲虫
chou 丑惆愁抽
chu 傗储
chua 欻歘
chuai 踹
chuan 串川
chuang 床闯
chui 吹垂
chun 春淳
chuo 啜
ci 此
cong 从
cou 凑
cu 促醋
cuan 篡
cui 催
cun 存
cuo 错
da 大
dai 代呆
dan 丹单旦
dang 当
dao 刀岛
de 德的
dei 得
den 扽
deng 凳灯
di 弟迪递
dia 嗲
dian 典垫
diao 掉
die 叠
ding 丁订
diu 丢
dong 东冬冻动
dou 抖斗
du 读
duan 断
dui 兑
dun 吨
duo 多夺朵
e 呃恶
ei 欸诶
en 恩摁嗯
eng 鞥
er 二儿尔
fa 乏伐
fan 凡
fang 房放方
fei 飞
fen 份分坟
feng 丰冯奉讽
fiao 覅
fo 佛
fou 否
fu 付伏父
ga 尬
gai 该
gan 干
gang 刚纲缸
gao 告
ge 个哥
gei 给
gen 跟
geng 更
gong 供公共功
gou 狗
gu 古
gua 刮呱
guai 乖柺
guan 关冠毌
guang 光广
gui 龟
gun 棍滚
guo 国
ha 哈
hai 亥
han 喊寒
hang 杭
hao 号
he 何合
hei 嘿黑
hen 很
heng 哼横
hong 哄红
hou 侯候厚后
hu 乎户
hua 划
huai 坏徊怀
huan 唤
huang 惶皇黄
hui 会回讳诙贿
hun 昏
huo 伙火
ji 几击己
jia 价伽佳假加
jian 件剑坚
jiang 姜将江讲
jiao 交佼侥轿较郊饺
jie 介借
jin 今
jing 井京净
jiong 炯
jiu 久
ju 举句局居巨
juan 卷
jue 决
jun 俊军君
ka 卡
kai 凯
kan 坎
kang 康扛抗
kao 考
ke 克可
kei 剋尅
ken 啃肯
keng 坑
kong 孔空
kou 口
ku 哭库
kua 夸
kuai 块快
kuan 宽
kuang 况狂
kui 亏
kun 困坤
kuo 括
la 垃拉
lai 来
lan 兰拦栏烂
lang 浪狼
lao 劳老
le 乐了
lei 儡
len 啉
leng 冷
li 丽力历厉厘
